threshold,f1_score,business_cost
0.478,0.7026279391424619,-29950
0.483,0.703601108033241,-29900
0.488,0.7027777777777777,-30100
0.493,0.7096774193548387,-29750
0.498,0.7106741573033708,-29700
0.502,0.711864406779661,-29800
0.507,0.71004243281471,-30050
0.512,0.7102272727272727,-30200
0.517,0.7114285714285714,-30300
0.522,0.7089337175792507,-30900
0.527,0.7109826589595376,-30800
0.532,0.7111756168359942,-30950
0.537,0.7132459970887919,-30850
0.542,0.7124087591240876,-31050
0.547,0.7134502923976608,-31000
0.552,0.7126099706744868,-31200
0.557,0.7138643067846607,-31300
0.562,0.712166172106825,-31700
0.566,0.7115097159940209,-32050
0.571,0.7076461769115442,-32550
0.576,0.7097744360902256,-32450
0.581,0.7078313253012049,-32700
0.586,0.7114503816793893,-32850
0.591,0.7169230769230769,-32600
0.596,0.7131782945736435,-33250
0.601,0.7147335423197492,-33500
0.606,0.716323296354992,-33750
0.611,0.717948717948718,-34000
0.616,0.7170418006430869,-34200
0.621,0.7163695299837926,-34550
0.626,0.7189542483660131,-34600
0.631,0.7171052631578947,-35000
0.635,0.717607973421927,-35300
0.64,0.7159663865546219,-35850
0.645,0.7152542372881356,-36200
0.65,0.7120954003407155,-36650
0.655,0.7066895368782161,-37350
0.66,0.7046632124352331,-37750
0.665,0.6996466431095406,-38900
0.67,0.7033747779751333,-38750
0.675,0.7,-39200
0.68,0.7012522361359571,-39150
0.685,0.6969147005444646,-39950
0.69,0.6972477064220184,-40250
0.695,0.7012987012987013,-40250
0.699,0.6943396226415094,-41300
0.704,0.6907020872865275,-41750
0.709,0.6857142857142857,-42250
0.714,0.6871401151631478,-42350
0.719,0.6808510638297872,-43050
0.724,0.67578125,-43700
0.729,0.6758349705304518,-43850
0.734,0.6600397614314115,-45350
0.739,0.657258064516129,-45900
0.744,0.6447638603696099,-47250
0.749,0.6263048016701461,-48950
0.754,0.6157112526539278,-50050
0.759,0.6068376068376068,-50800
0.763,0.6073752711496746,-51050
0.768,0.612691466083151,-50850
0.773,0.6096491228070176,-51100
0.778,0.5924276169265034,-52550
0.783,0.5778781038374717,-53750
0.788,0.5649202733485194,-54750
0.793,0.5675057208237986,-54650
0.798,0.5480093676814989,-56250
0.803,0.5390070921985816,-56950
0.808,0.5227817745803357,-58150
0.813,0.5121951219512195,-59000
0.818,0.508641975308642,-59350
0.823,0.48621553884711777,-60850
0.827,0.4631043256997455,-62350
0.832,0.4564102564102564,-62800
0.837,0.43636363636363634,-64050
0.842,0.43342036553524804,-64250
0.847,0.42216358839050133,-64950
0.852,0.3945945945945946,-66600
0.857,0.3770491803278688,-67600
0.862,0.3611111111111111,-68500
0.867,0.32,-70700
0.872,0.3072463768115942,-71350
0.877,0.2831858407079646,-72550
0.882,0.26865671641791045,-73250
0.887,0.2694610778443114,-73200
0.892,0.2553191489361702,-73850
0.896,0.22910216718266255,-75050
0.901,0.22012578616352202,-75400
0.906,0.20952380952380953,-75850
0.911,0.1864951768488746,-76850
0.916,0.16883116883116883,-77600
0.921,0.14473684210526316,-78600
0.926,0.132890365448505,-79050
0.931,0.08843537414965986,-80800
0.936,0.04195804195804196,-82500
0.941,0.014184397163120567,-83500
0.946,0.0071174377224199285,-83750
0.951,0.0,-84000
0.956,0.0,-84000
0.96,0.0,-84000
0.965,0.0,-84000
0.97,0.0,-84000
0.975,0.0,-84000
0.98,0.0,-84000
0.985,0.0,-84000
0.99,0.0,-84000
