threshold,f1_score,business_cost
0.916,0.0070921985815602835,-83800
0.921,0.0,-84000
0.926,0.0,-84000
0.931,0.0,-84000
0.936,0.0,-84000
0.941,0.0,-84000
0.946,0.0,-84000
0.951,0.0,-84000
0.956,0.0,-84000
0.96,0.0,-84000
0.965,0.0,-84000
0.97,0.0,-84000
0.975,0.0,-84000
0.98,0.0,-84000
0.985,0.0,-84000
0.99,0.0,-84000
